1,"เรียนแล้วสนุกมากได้คิดตามตลอดเลยค่ะ
อยากให้มีช่วงทำงานกลุ่มเยอะขึ้น
เวลาระดมหัวคิดกับเพื่อนแล้วสนุกดีค่ะ",2562
2,จารครับขอให้พูดเรืองอื่นน้อยหน่อยครับ ตอนหนึ่งจารคุยสไลย์หนึงเป็น2ชัวโมงครับ,2563
3,เรียนกับอาจารย์ทั้งได้ความรู้ และสนุกค่ะ,2564
4,ดีคับ,2565
5,ดีมากครับ,2561
6,อาจารย์สอนดีมากๆครับ,2561
7,ดี,2561
8,อาจารย์สอนดีครับ,2562
9,ดีมากครับ,2563
10,ขอบคุณครับ,2563
11,สอนแบบไม่มีกลางสอบภาค ไม่มีคะแนนเก็บ สอบปลายภาคอย่างเดียวข้อกา90ข้อ เขียน2 ไม่มีโอกาศได้ถอน ตอบผิดคะแนน1 จำกัดความคิดมากๆ,2563
12,ดีมากครับ,2563
13,สอนไวเกินครับ,2564
14,อาจารย์สอนเป็นวิชาการเกินไป,2564
15,เยี่ยมๆ,2564
16,"อาจารย์สอนเร็วจังค่ะ งื้อๆ  
สอนช้าอีกนิดนึง ",2561
17,ดีมากครับ,2563
18,2 วันสุดท้ายอาจารย์สอนดีมากเลยครับอยากให้เป็นแบบนี้ทั้งเทอมจะได้ไม่น่าเบื่อครับ,2563
19,อยากให้จารย์พูดช้าลงครับฟังไม่ค่อยจะทัน,2564
20,ปานกลาง,2562
21,อาจารย์สอนดีมาก สอนเข้าใจ แต่อยากให้ ชีท เอกสารประกอบการสอนของอาจารย์เป็นภาษาไทยด้วย ,2565
22,อาจารย์อธิบายค่อนข้างละเอียดค่ะ เข้าใจง่าย,2565
23,มีเมตตา เข้าใจเด็ก และการสอนที่ดีแบบอกไม่ถูก แค่ตั้งใจฟังจดตัวอย่างตาม ทุกอย่างคือง่ายไปหมด หัวข้อทุกข้ออาจารย์ยกมาให้เห็นภาพจนเข้าใจไม่ปล่อยทิ้งไว้ลอยๆ แบะอาจารย์เป็นกลางมากในเรื่องของกฎเกณฑ์ และในเรื่องของที่รักที่ชัง หนูประทับใจมากเพราะหลายวิชาหนูมักเจอแบบนี้,2565
24,เป็นวิชาที่เสียงอาจารย์กล่อมให้หลับได้ง่ายๆเพราะเน้นทฤษฎีและพื้นฐานความเข้าใจของนักศึกษาเลยอยากให้มีสิ่งที่มาช่วยดึงความสนใจหรือทดลองแบบทดสอบเล็กๆน้อยๆคับ,2566
25,สอนดีแล้วครับ ออกสอบยากไปหน่อย ต้องประยุกต์,2566
26,สอนเร็วไปค่ะ ,2565
27,อยากให้สอนช้ากว่านี้ สอนพอเข้าใจแต่พอทำแลปทำให้เห็นภาพการสอนมากกว่าการไม่ทำแลป,2565
28,สอนเร็วมาก,2565
29,ไม่รู้ว่าอาจารย์สอนเข้าหรือหนูไม่เข้าใจเอง,2566
30,อยากให้ออกข้อสอบปรนัย ทั้งกลางภาคและปลายภาค,2566
31,อาจารย์เก่งจริงอันนี้ยอมรับ  แต่แค่เราไม่สามารถตามความเก่งของอาจารย์ได้เบย ขอโทษด้วยครับ/ค่ะ,2566
32,บอกว่าข้อเขียนล้วนก่อนสอบตื่นเต้นดีครับ แต่ไม่อยากตื่นเต้นอีกแล้ว,2566
33,"คาดหวังให้มันจบทุก Layer จริงๆ นะจารย์ 555+
อย่างที่อาจารย์เคยพูด ผมว่ามันโอเครที่จะลองสอนแบบ ไม่ต้องรอมากขนาดนั้นก็ได้ เนื้อหามันสนุกมากครับ อยากเรียนให้จบครบจริงๆ คือพวกผม Sec 3 เก่าตอนปี 1 จะมีคนติวหลักของวิชาอาจารย์โดยเฉพาะอยู่แล้ว อารมณ์แบบนักศึกษาแพทย์นั่งอ่านช่วยเหลือกันก่อนสอบ เนื้อหาเดี๋ยวให้เป็นหน้าที่พวกผมสอนๆ กันเอง ก็ได้ครับ รุ่นน้องรุ่นนี้ก็มีบางส่วนทักรุ่นพวกผมอยู่หลายคน น้องเค้าไม่เข้าใจตรงไหนเค้าทักมาตลอดครับ ผมว่ามันทำได้ น่าจะมีช่องทางติดต่ออาจารย์ทางไลน์ก็ดีนะครับ คือว่า ผมค่อนข้างจะเสียเวลาทำความเข้าใจเนื้อหาบางส่วนเอง ถ้าถามตรงๆ อาจจะทำเนื้อหาต่างๆ ทันก่อนสอบ",2566
